"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,Type of the initiative,Status of the initiative,Year of implementation,Description of the initiative,Recent developments,Jurisdictions covered,GHG emissions in the jurisdiction (2012),Share of jurisdiction's GHG emissions covered,Sectors and/or fuels covered,Proportion of GHG emissions covered overlapping with other carbon pricing initiatives,"Cap or total emission units (current year or latest year available, ETS only)",Allocation approaches (ETS only),Competitiveness considerations and/or exemptions,Point of regulation,Compliance cycle,Use of offsets,Price level,Price/market stabilization mechanisms (ETS only),Future price developments (Carbon tax only),Government revenues (previous year),Value (current year),Relation to other carbon pricing initiatives,Cooperations,Links to official sources,To find out more,Contributions
Slovenia carbon tax,Carbon tax,Implemented,1996,"The Slovenia carbon tax (official name: Okoljska dajatev za onesnazevanje zraka z emisijo CO2 za zgorevanje goriva) is part of a number of environmental taxes, which aim to limit environmental pollution. ",No significant recent developments,Slovenia,21 MtCO2e,24%,The Slovenia carbon tax applies to GHG emissions from mainly the buildings and transport sector as there are exemptions for other sectors (see Competitiveness considerations and/or exemptions).   The tax covers natural gas and all liquid and solid fossil fuels.,Overlap with the EU ETS not available due to a lack of data,Not applicable,Not applicable,"Operators covered by the EU ETS that are deemed exposed to carbon leakage and/or energy-intensive are exempt from the carbon tax. Also, certain (energy-intensive) industries, export of the fuels covered, aviation and power production are exempt from the carbon tax. ",Distributors and importers of the fossil fuels covered are liable for payment of the tax. ,The carbon tax is to be paid on a monthly basis. ,"Small emitters that were excluded from the EU ETS can choose to meet their payment obligations with EU emission allowances. These small emitters can also choose to meet up to 11% of their compliance obligations with international credits, i.e. Certified Emission Reductions (CERs) or Emission Reduction Units (ERUs). The same qualitative restrictions of the EU ETS apply to the use of international credits.",N/A,Not applicable,Not applicable,US$81 million,US$81 million,Almost all operators covered by the EU ETS are exempt from the carbon tax (see Competitiveness considerations and/or exemptions). ,Not applicable,Environmental taxes,-,
South Africa carbon tax,Carbon tax,Implemented,2019,"The South Africa carbon tax came into effect on June 1, 2019. The carbon tax aims to price carbon by obliging the polluter to internalise the external costs of emitting carbon, and contribute towards addressing the harm caused by such pollution. ","South Africa's 2020 carbon tax rate is R127/tCO2e (US$7/tCO2e)  and will increase until 2022 by the amount of consumer price inflation plus 2% annually. After 2022, only inflationary adjustments are envisioned. The tax will apply to industry, power, buildings and transport sectors irrespective of the fossil fuel used. Exemptions and offset allowances vary by sector.   To ensure a cost-effective transition, companies could receive tax-free allowances ranging from 60 to 95 % of their emissions, reducing the effective carbon tax rate to between R6/tCO2e (US$0.3/tCO2e) and R48/tCO2e (US$1.20/tCO2e). The basic tax-free allowance of 60% applies to all taxpayers and companies can use carbon offsets as a flexibility mechanism to increase their tax-free allowances by either 5% or 10% of their emissions.  Companies also receive an additional tax-free allowance of 10% if they are trade exposed and another 10% if they outperform their respective industry's GHG emission intensity benchmarks. The government is currently in the process of legislating regulations for these two provisions. Companies can increase their tax-free allowances further by 5% if they comply with the carbon budget information requirements of the Department of Environmental Affairs.",South Africa,640 MtCO2e,80%,"In the draft bill, the South Africa carbon tax applies to GHG emissions from the industry, power, buildings and transport sectors irrespective of the fossil fuel used, with partial exemptions for all these sectors (see Competitiveness considerations and/or exemptions). ",Not applicable,Not applicable,Not applicable,"Under the draft bill, for many sectors tax exemptions starting from 60% up to 95% will apply. The level of tax exemption depends on the presence of fugitive emissions, level of trade exposure, emission performance, offset use and participation in the carbon budget program. Also, residential transport is exempt from the carbon tax.",Users of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on a biannual basis . ,"Under the draft legislation, companies may be eligible for either a 5 or 10% offset allowance to reduce their carbon tax liability. Only domestic emission reduction projects will be credited and the scheme will primarily rely on existing international offset standards including the CDM, Verified Carbon Standard and Gold Standard. The South African government will publish a revised draft carbon offset regulation by Fall 2018.",R120/tCO2e (US$7/tCO2e),Not applicable,"The starting carbon tax rate is R120/tCO2e. The increase of the carbon tax rate until 2022 is stated as the amount of consumer price inflation plus 2% annually. After 2022, only inflationary adjustments are envisioned.",N/A,US$97 million,Not applicable,Not applicable,Carbon Tax Bill,-,
Spain carbon tax,Carbon tax,Implemented,2014,The Spanish carbon tax (Impuesto sobre los Gases Fluorados de Efecto Invernadero) is aimed at curbing emissions from fluorinated greenhouse gases (F-gases).,No significant recent developments,Spain,367 MtCO2e,3%,"The Spanish carbon tax applies to fluorinated GHG emissions (HFCs, PFCs, and SF6) only from all sectors with some exemptions for certain sectors (see Competitiveness considerations and/or exemptions). ",Not applicable,Not applicable,Not applicable,"The use of fluorinated GHGs in certain sectors and/or for certain purposes is also (partially) exempt from the carbon tax, including export of the F-gases covered, use in chemical processes and in new equipment and medication, as well as F-gases with a global warming potential less than 150. Also first installation of F-gases in new equipment or installations are exempted as the tax applies to the recharge of the existing equipment. Entities can also recover a part of the tax they paid when recovering F-gases in line with the waste regulation.","The first entry of all F-gases into the Spanish market has to be declared to the Spanish Tax Agency. However, only entities consuming F-gases or recharging F-gases in existing equipment are liable for payment of the tax as new equipment or installations are exempted (see also Competitiveness considerations and/or exemptions).",The carbon tax is to be paid on a four-monthly basis.,Not applicable,N/A,Not applicable,Not available,US$120 million,US$120 million,Not applicable,Not applicable,Carbon tax legislation of Spain Tax on fluorinated greenhouse gases of Spain,-,
Sweden carbon tax,Carbon tax,Implemented,1991,The Sweden carbon tax (official name: Koldioxidskatt) is part of the energy tax (official name: skatt pa energi). The tax placed on carbon-intensive fuels aims to actively reduce dependency of fossil fuels.,"On August 1, 2019, Sweden eliminated or reduced exemptions to its carbon tax as part of a set of measures to reach its climate target of net zero emissions by 2045.  The partial exemption for diesel used in mining, which stood at 40% of the carbon tax rate, was abolished. In addition, the exemption for fuels used to generate heat in cogeneration facilities that fall under the EU ETS is reduced from 89% to 9% if this heat is not used in industrial manufacturing processes. This is in line with other heat generation plants in the EU ETS. Heat generated by facilities outside of the EU ETS remain taxed at the full carbon tax rate, which sits at SEK1190/tCO2 (US$119/tCO2) in 2020.",Sweden,111 MtCO2e,40%,The Swedish carbon tax applies to CO2 emissions from mainly the transport and buildings sector as there are many (partial) exemptions for other sectors (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels.,Overlap with the EU ETS not available due to a lack of data,Not applicable,Not applicable,"Operators covered by the EU ETS are exempt from the carbon tax, except for the fossil fuels that are used to generate heat other purposes than manufacturing and the heat is not generated in a combined heat and power plant. Also, certain industries, export of the fuels covered, modes of transportation (train, shipping, aviation), power production, forestry and agriculture are (partially) exempt from the carbon tax.",Distributors and importers of the fossil fuels covered are liable for payment of the tax. ,The carbon tax is to be paid on a monthly basis.,Not applicable,kr1190/tCO2e (US$119/tCO2e),Not applicable,The tax is recalculated annually to take inflation into account.,US$2314 million,US$2295 million,Almost all operators covered by the EU ETS are exempt from the carbon tax (see Competitiveness considerations and/or exemptions). ,Not applicable,Energy and carbon dioxide tax for fuel ,-,
Switzerland ETS,ETS,Implemented,2008,"The Switzerland Emissions Trading System is a mandatory cap-and-trade system. The ETS started in 2008 with a five-year phase during which companies could voluntarily join as an alternative to facing the Switzerland carbon tax (CO2 levy on fossil fuels). Starting from 2013, the ETS became mandatory for large energy-intensive industries and medium-sized industries can voluntarily join. Participants in the ETS continue to be exempted from the CO2 levy.","On January 1, 2020, the Swiss linking of the Swiss and EU ETS came into force.  Ratification of the agreement by the EU and Switzerland was announced on December 12, 2019 and followed legislative revisions required for the Swiss ETS to be compatible with the EU ETS and comply with the agreement. The linkage follows a ten-year negotiation process. With the linking agreement now in effect, covered entities in the Switzerland ETS will be able to use allowances from the EU ETS for compliance, and vice versa. However, the two systems will run separate auctions. Leading up to and following the linkage, the price of allowance in the Switzerland ETS increased towards the price of EUAs, more than doubling from CHF7/tCO2e (US$8/tCO2e) to CHF18/tCO2e (US$19/tCO2e) in 2019. However, the Swiss allowance clearing prices remained below EUA prices leading to a cancellation of the first March auction.  The other auction in March was also cancelled as Switzerland closed its emission trading registry until mid-May 2020 due to COVID-19. As installations could no longer surrender allowances in the registry, the compliance deadline was extended until end of August 2020.  The link between the registries of the Swiss and EU emissions trading systems that will enable the transfer of allowances, initially postponed due to COVID-19, will became operational as of September 21, 2020 on a provisional basis. Transfers between the registries are executed on pre-announced dates that are released at least one month in advance.  The provisional solution will remain in effect until a direct link between both systems is established. EU and Swiss operators can use allowances from either system for compliance 2020 emissions and later years.",Switzerland,55 MtCO2e,11%,"The Switzerland ETS applies to GHG emissions (CO2, NO2, CH4, HFCs, NF3, SF6 and PFCs)  from the industry and power sectors and includes industrial process emissions.",Not applicable,6 MtCO2e (2020)  The total amount of emission allowances is determined top-down and decreases annually.,Emission allowances under the cap are distributed via a combination of free allocation and auctioning. Industry sectors receive free allocation based on the same benchmarks as the EU ETS and historical activity data. The free allocation to industry sectors also depends on their emission and/or trade intensity and is corrected to ensure the total free allowances does not exceed the available allowances for free allocation. Allowances that are not allocated for free are auctioned. ,"Emission-intensive and/or trade-intensive sectors at risk of carbon leakage receive free allowances up to 100% of the benchmark level. Also, small emitters are exempt from the Switzerland ETS.",Operators are liable for reporting the emissions covered under the Switzerland ETS at a facility level and surrendering an equivalent amount of Swiss emission allowances (and eligible offsets). ,Operators need to meet their compliance obligations on an annual basis. Operators need to surrender allowances by April 30 for the covered GHGs emitted in the previous calendar year. ,"Several quantitative and qualitative restrictions apply to the use of ERUs and CERs. Each operator is restricted in the quantity of international credits it can use to meet its compliance obligations. Credits from GHG emissions reduction projects registered before December 31, 2012 can be used from all countries, except certain project types. For credits from emission reductions after January 1, 2013, only credits from projects hosted by least developed countries (LDCs) are eligible.",Sfr18/tCO2e (US$19/tCO2e),Not applicable,Not applicable,US$9 million,US$117 million,"Switzerland has concluded negotiations with the EU on linking the Swiss ETS to the EU ETS and is waiting for approval of the agreement by the Swiss Parliament in 2019. The link will become operational on January 1, 2020.  Participants in the ETS are exempt from the carbon tax. ",Not applicable,Switzerland emissions trading Federal Act on the Reduction of CO2 Emissions (CO2 Act) Ordinance on the Reduction of CO2 Emissions (CO2 Ordinance),ICAP Switzerland ETS factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Switzerland ETS can be found here
Switzerland carbon tax,Carbon tax,Implemented,2008,The Switzerland carbon tax (official name: CO2 levy) is a central instrument in the Swiss climate policies under the CO2 Act to contribute to limiting the global rise in temperature to less than 2 degrees Celsius. The tax serves as a complementary policy measure to the Switzerland ETS.,No significant recent developments,Switzerland,55 MtCO2e,33%,"The Switzerland carbon tax applies to CO2 emissions from mainly the industry, power, buildings and transport sectors (see Competitiveness considerations and/or exemptions).   The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,"Operators covered by the Switzerland ETS are exempt from the carbon tax. Operators in sectors with a high carbon tax burden and competitiveness risks can also be exempt for the carbon tax, provided that the companies commit to reduce GHG emissions by a specific amount by 2020. Large fossil fuel power plants are fully exempt from the carbon tax and importers of transport fuels are partially, but need to offset the associated CO2 emissions (see Use of offsets).",Distributors and importers of the fossil fuels covered are liable for payment of the tax. ,The carbon tax is to be paid on a monthly basis. ,"Companies with commitments to reduce or compensate GHG emissions can use offsets to a certain extent to fulfill their obligations.   Fossil fuel power plants need to compensate their CO2 emissions through offsets, of which at least half must come from domestic emission reduction projects. The rest can be covered by international credits.  Importers of transport fuels need to compensate a part of the CO2 emissions attributed to the use of the fossil fuels with offsets from domestic emission reduction projects.",N/A,Not applicable,"The Swiss government has put forward a proposal that would further increase the maximum possible carbon tax rate from CHF120/tCO2e to CHF210/tCO2e if emission reductions targets are not met. Similar to the current regulation, the proposal also defines intermediate emission reduction targets. This would lead to biannual increases of the tax rate if targets are not met, meaning the new maximum tax rate could be reached at the earliest in 2028.",US$1235 million,US$1214 million,Operators covered by the Switzerland ETS are exempt from the carbon tax.,Not applicable,Swiss CO2 Levy,-,
TCI ETS,ETS,Under consideration,TBC,"The Transportation and Climate Initiative (TCI) is a collaboration between nine US states and Washington DC to develop a carbon pricing initiative for the transportation sector. Participating US states include Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, and Virginia.","On October 1, 2019, the participating TCI jurisdictions  released a draft framework outlining basic design features of a regional ETS for CO2 emissions from the combustion of gasoline and on-road diesel fuel in the transport sector, which could start as early as 2022. This follows a series of expert and public stakeholder consultations, as well as a variety of analyses on the benefits and costs of a regional carbon pricing initiative for transportation.  The ETS targets transport fuel suppliers that produce the covered fuels within these states, as well as suppliers that import them to those states. The program intends to auction nearly 100 % of its allowances with revenues being returned to participating TCI states. Each state can invest the revenue as determined appropriate to achieve TCI program goals, though the draft framework contains a commitment to address equity concerns. The program will implement a minimum reserve price and include a Cost Containment Reserve, as well as an Emissions Containment Reserve. Banking of allowances will be allowed without restrictions.   On December 17, 2019, the TCI jurisdictions released a draft memorandum of understanding (MOU) with further design elements such as three-year compliance periods, interim compliance obligations and timings for regular program evaluations. The MOU is to be finalized in the fall of 2020 and will include a decision surrounding the cap, cap- trajectory and whether the program will accept a limited use of offsets. Each jurisdiction will decide whether to sign the final MOU and participate in the regional program. Other states would also be able to join the initiative at any time. The participating jurisdictions must develop a model rule by December 31, 2020 and adopt the necessary regulations over the course of 2021. ",,,,,,,,,,,,,,,,,,,,,
Taiwan ETS,ETS,Under consideration,TBC,"On June 15, 2015, Taiwan, China adopted the Greenhouse Gas Reduction and Management Act. This law sets an emission reduction target of 50% below 2005 levels by 2050. In February 2017, plans were published to meet this target through the implementation of an ETS, among other policy measures. and indicates that one of the major means to achieve this target will be an ETS. Accordingly, the Taiwanese Environmental Protection Administration (TEPA) has been conducting research on the design options and the timetable for establishing an ETS. The new ETS can build on the mandatory emissions reporting requirements for entities with annual emissions above 25,000 tCO2e from certain sectors, which has been in place since 2013.   In March 2018, the government published its GHG Reduction Action Plan. The plan proposes to implement a cap-and-trade system, calculate baseline emissions, and set up regulations, albeit without a precise timeline. On this basis, the central industry authorities in charge of the six major sectors  developed GHG Emissions Control Action Programs to provide more detail on each sector's responsibilities to reduce their emissions. In addition, a series of subsidiary regulations has been formulated in preparation for the cap-and-trade system. This includes the 2018 Regulations Governing GHG Offset Program Management, which provides an opportunity for companies to acquire offsets credits. The schedule for launching the ETS is unclear. ",No significant recent developments,,,,,,,,,,,,,,,,,,,Greenhouse Gas Reduction and Management Act GHG Reduction Action Plan,"ICAP Taiwan, China factsheet","The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Taiwan, China can be found here"
Tamaulipas carbon tax,Carbon tax,Scheduled,2021,"In July 2020, the Mexican state Tamaulipas passed legislation enacting a carbon tax as of 2021. The carbon tax rate will be set at three times the daily ""Unit of Measurement and Update"", an economic reference for determining taxation and other payments set in legislation. This is equivalent to about MXN250 per tCO2e. The carbon tax will apply to fixed sources and facilities that emit more than 25 tCO2e of greenhouse gases monthly. Revenues will be used for programmes and activities aimed at climate change mitigation and adaptation.",The Tamaulipas government is working on an emissions registry to collection information on fuel types and volumes.,Tamaulipas,0 MtCO2e,N/A,The Tamaulipas carbon tax applies to GHG emissions from all sectors.  The tax covers all fossil fuels.,Not applicable,Not applicable,Not applicable,"For each regulated entity, the first 25 tCO2e emitted per month is exempted from the carbon tax.",Operators of fixed sources and facilities emitting more than 25 tCO2e per month are liable for payment of the tax.,The carbon tax is to be paid on a monthly basis.,Not applicable,N/A,Not applicable,Not applicable,N/A,N/A,Not applicable,Not applicable,Tamaulipas carbon tax law,-,
Thailand ETS,ETS,Under consideration,TBC,"The Thai government is assessing various types of carbon pricing initiatives. As part of this process, Thailand started a voluntary ETS consisting of two phases. The first phase, which is being held over 2015-2017, is testing the MRV system. The second phase, which will run from 2018-2020, will be an ETS simulation covering various industrial sectors, designed to test the registry and allocation systems.",No significant recent developments,,,,,,,,,,,,,,,,,,,-,ICAP Thailand factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Thailand can be found here
Tianjin pilot ETS,ETS,Implemented,2013,The Tianjin pilot ETS is a key instrument to lower the costs to achieve the green low-carbon development goals of the city of Tianjin and raise awareness on GHG emission control. The cap-and-trade system also aims to promote economic development and industrial optimization and upgrading.,"In 2019, the Tianjin pilot ETS was expanded to also cover enterprises from the building materials, papermaking and aviation sectors that previously only had monitoring, reporting and verification (MRV) obligations. Allowance auctions for this pilot were held for the first time in 2019. On June 10, 2020, Tianjin municipal government released the ""Tianjin Interim Measures for the Administration of Carbon Emissions Trading"". Compared to the previous version released two years ago, it has relocated the responsibility of the regional ETS from the Municipal Development and Reform Commission to its Ecology and Environment Bureau. ",Tianjin,215 MtCO2e,55%,"The Tianjin pilot ETS applies to CO2 emissions from the industry, power and buildings sectors.",35%  Estimated based on overlap with: China national ETS,165 MtCO2e (2019)  The total amount of emission allowances is determined top-down.,Emission allowances under the cap are primarily distributed via free allocation. Existing business entities receive free allocation based on their historical emissions or historical carbon intensity and actual production data. New business entities receive free allocation based on benchmarks and actual production data. A small portion of allowances can be auctioned to stabilize the carbon market (See Price/market stabilization measures).,"All operators receive their allowances (largely) for free. Also, some small emitters are exempt from the Tianjin pilot ETS.","Operators are liable for reporting their direct emissions as well as indirect emissions from power and heat consumption at a business entity level. Power generators are liable for their direct emissions at a business entity level, meaning that power and heat sector emissions are double-regulated due to the price-regulated electricity market in China. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",Operators need to meet their compliance obligations on an annual basis.  ,"Operators can use eligible offsets to meet up to 10% of their compliance obligations. Only domestic project-based carbon offsets (CCERs) from CO2 reduction projects generated after January 1, 2013 are eligible. CCERs from hydropower projects are not eligible. ",RMB25/tCO2e (US$4/tCO2e),The Tianjin Development and Reform Commission (DRC) can auction allowances or sell them at a fixed price in case of significant allowance price fluctuations. The DRC can also buy back allowances to stabilize the market.,Not applicable,N/A,US$465 million,The Tianjin pilot ETS is to be merged into the national ETS under unified rules and a detailed transition plan is under development.,Not applicable,Tianjin Pilot ETS Implementation Plan Interim Measure for Management of Emissions Trading in Tianjin (2013) Interim Measure for Management of Emissions Trading in Tianjin (2016) Interim Measure for Management of Emissions Trading in Tianjin (2018),ICAP Tianjin pilot ETS factsheet PMR ETS news from China,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Tianjin pilot ETS can be found here
Tokyo CaT,ETS,Implemented,2010,"The Tokyo Cap-and-Trade Program is a baseline-and-credit system. Launched in April 2010, the Tokyo CaT is Japan's first mandatory carbon market and is linked to the Saitama ETS. The Tokyo CaT introduced mandatory emission reduction targets for large emitters.","On March 29, 2019, the Tokyo Metropolitan Government (TMG) finalized regulations for its third compliance period (2020-2024) of its ETS, including an expansion of options and incentives for entities to reduce compliance obligations through the use of low-carbon energy. In the third compliance period, entities covered by the Tokyo CaT are required to reduce CO2 emissions 25-27% below their 2000 baseline, up from 15-17% in FY2015-2019.",Tokyo,66 MtCO2e,20%,"The Tokyo CaT applies to energy-use related CO2 emissions from the industry, power and buildings sectors.",100%  Estimated based on overlap with: Japan carbon tax,2 MtCO2e (2017)  Emission units shown here are the estimated Excess Emission Reduction credits generated in that year. The total emission limit under the Tokyo CaT is the bottom-up combination of the absolute emission baseline for each covered facility.,"The absolute emission baseline of each facility is determined by the historical emissions associated with their total energy consumption and emission reduction target. This includes indirect emissions from heat and electricity consumption. Operators can earn Excess Emission Reduction credits if their emissions are below their baseline level, and sell these credits to other covered operators or bank them for future compliance.","Operators do not have to pay for GHG emission up to their baseline emission level. Only if the baseline emission level are exceeded, operators must surrender a number of credits. Also, small energy users and residential buildings are exempt from the Tokyo CaT.","Operators are liable for reporting the emissions related to their total energy consumption at a facility level, including indirect emissions from heat and electricity consumption. Operators need to meet their compliance obligations for the emissions above the baseline emission level through surrendering an equivalent amount of Excess Emission Reduction credits, credits from the Saitama ETS or offsets (See Use of offsets).",The compliance cycle is based on a five-year compliance period. Operators have to submit their emissions reports on an annual basis and meet their compliance obligation at the end of the five-year compliance period (second compliance period is 1 April 2015 to 30 September 2021). ,"Operators can use eligible offsets to meet their compliance obligations. Eligible offsets include credits generated from energy efficiency menasures in small and midsize facility generated in Tokyo, emission reduction measures in large facilities outside Tokyo (quantitative limit applies) and renewable energy projects.",JPY600/tCO2e (US$6/tCO2e),"In general, covered facilities trade over the counter and authorities do not control carbon prices. However, of prices evolve to levels deemed excessive, the authorities can introduce offset credits to be used for compliance in the Tokyo CaT. ",Not applicable,N/A,US$10 million,The Tokyo CaT is linked to the Saitama ETS and operators can use credits from the Saitama ETS to meet their compliance. ,Not applicable,Tokyo Cap-and-Trade Program The Tokyo Metropolitan Security Ordinance Regulation for the Enforcement of the Ordinance,ICAP Tokyo CaT factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Tokyo CaT can be found here
Turkey ETS,ETS,Under consideration,TBC,"Turkey adopted monitoring, reporting and verification (MRV) legislation in 2012 and monitoring of GHG emissions from large installations started in 2015. This legislation establishes an installation-level MRV system for CO2 emissions for roughly 900 entities across the power sector and a range of industrial sectors.  Since 2013, Turkey has also been working with the Partnership for Market Readiness to enhance the MRV regulation through pilot studies in the energy, cement, and refinery sectors. A series of workshops and analytical studies have also been conducted to explore appropriate market-based mechanisms, including a possible ETS. ",No significant recent developments,,,,,,,,,,,,,,,,,,,-,ICAP Turkey factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Turkey can be found here
UK carbon price floor,Carbon tax,Implemented,2013,"The UK carbon price floor aims to reduce revenue uncertainty and improve the economics for investment in low-carbon generation for the UK electricity generation sector. The carbon price floor was introduced because the EU allowances price has not been stable, certain or high enough to encourage sufficient investment in low-carbon electricity generation in the UK. ",No significant recent developments,United Kingdom,583 MtCO2e,23%,The UK carbon price floor applies to CO2 emissions from the power sector with some exemptions (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels.,100%  Estimated based on overlap with: EU ETS,Not applicable,Not applicable,"Small power generators, stand-by generators and power production in Northern Ireland are exempt from the tax rates of the UK carbon price floor. Consumption of electricity generated from efficient on-site combined heat and power (CHP) plants is also exempted and from inefficient CHPs partially exempted.","Users of the fossil fuel (power producers) are liable for payment of the tax for all fossil fuels except for hydrocarbon oils. For hydrocarbon oils, producers and importers are liable for payment of the tax.","The tax rate of the UK carbon price floor is to be paid on a quarterly basis for fossil fuel sources other than oil. For hydrocarbon oils, power producers need to apply for a refund for a period of at least one month, but not longer than three years and must be made no later than three months after the period to which it relates to for the exempted fuel (see Competitiveness considerations and/or exemptions).",Not applicable,N/A,Not applicable,"The tax rate under the Carbon Price Floor is normally determined as the difference between the EU ETS price and the annual increasing Carbon Price Floor target, forming the Total Carbon Price with the EU ETS price. Since the EU ETS price has remained too low over the past years, the tax rate was capped at a maximum of GBP18 until 2020-21. From 2021-22 onwards, the government will seek to reduce the tax rate if the Total Carbon Price remains high.",US$1098 million,US$852 million,The tax rate under the Carbon Price Floor depends on the EU ETS price (See Future price developments),Not applicable,Carbon Price Floor Excise Notice 175,-,
Ukraine ETS,ETS,Under consideration,TBC,"Ukraine plans to establish a national ETS in line with its obligations under the Ukraine-EU Association Agreement, which entered into force on September 1, 2017. Ukraine is in the process of developing the main elements of the national monitoring, reporting and verification (MRV) system for GHG emissions to provide a solid basis for the upcoming ETS.","On December 12, 2019, the government adopted the MRV framework law, which enters into force in spring 2020. Large industrial installations are required to start monitoring their emissions as of January 1, 2021. Before establishing ETS legislation, Ukraine intends to first collect at least three years of data from its MRV system.",,,,,,,,,,,,,,,,,,,"Association Agreement between the European Union and its Member States, of the one part, and Ukraine, of the other part Draft law - On the basics of monitoring, reporting and verification of greenhouse gas emissions ",ICAP Ukraine factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Ukraine can be found here
Ukraine carbon tax,Carbon tax,Implemented,2011,The Ukraine carbon tax was introduced in the Ukrainian Tax Code as an environmental tax on air pollution from stationary sources.,"Ukraine's parliament approved an increase in the country's carbon tax from UAH 0.41/tCO2e to UAH 10/tCO2e as of January 1, 2019. The government also communicated intentions to increase the tax by a further UAH 5/tCO2e annually to reach UAH 30/tCO2e in 2023. Moreover, emissions below 500 tCO2e are not being taxed anymore. This means that installations below this threshold are not liable to pay the tax from 2019.",Ukraine,312 MtCO2e,71%,"The Ukraine carbon tax applies to CO2 emissions from stationary sources, so mainly the industry, power and buildings sectors.  The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,No exemptions are given.,The users of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on an quarterly basis. ,Not applicable,N/A,Not applicable,The government communicated intentions to increase the tax by UAH 5/tCO2e annually to reach UAH 30/tCO2e in 2023.,US$48 million,US$48 million,Not applicable,Not applicable,Environmental tax,-,
United Kingdom undecided,Undecided,Under consideration,TBC,"In February 2020, the UK published its approach to negotiating the future relationship with the EU, in which the UK stated that its future carbon pricing initiative will support its net zero by 2050 target. It is also considering a link between any future UK ETS and the EU ETS, like the Swiss-EU ETS linking model. This would allow allowances to be exchanged between both systems. However, fallback options, such as a standalone UK ETS and a carbon tax, are also being considered. ","The UK government legislated provisions for both a UK ETS and carbon tax as part of the Financial Bill 2020 as various post-Brexit carbon pricing options are still being considered. During summer 2020, the government outlined the design features of a potential UK ETS,  published an impact assessment of operating it without a link to the EU ETS starting January 1, 2021, and introduced draft legislation titled “The Greenhouse Gas Emissions Trading Scheme Order 2020” in the Parliament. The government is currently consulting on the design features of a carbon tax as well as an alternative policy option.  ",,,,,,,,,,,,,,,,,,,,,
Vietnam ETS,ETS,Under consideration,TBC,"Vietnam's 'Green Growth Strategy' (2012) pursues the objective of a low-carbon economy and invokes the introduction of market-based instruments. Vietnam is analyzing options for carbon pricing approaches applicable to the country and developing pilot crediting programs for the steel and waste sectors, which could start after 2020. Vietnam is also considering the use of market-based instruments for the waste sector starting in 2020.","The Vietnamese Ministry of Natural Resources and the Environment (MONRE) issued a draft environmental law in February 2020 that includes provisions for a domestic ETS, as well as Vietnam’s participation in international emissions trading under the Paris Agreement. The draft states that MONRE should design a domestic system and prepare to participate in an international market from 2021. ",,,,,,,,,,,,,,,,,,,,ICAP Vietnam factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for Vietnam can be found here
